"snapshot_date","window_start","window_end","store_name","spot_id","storage_id","product_name","product_id","ingredient_name","ingredient_id","current_avg_sales_day","current_min_stock"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Американська""","1055","Піца ""Американська""","2215","0,36","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Верона""","879","Піца ""Верона""","1954","0,43","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Гавайська""","292","Піца ""Гавайська""","391","0,57","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Грибна""","294","Піца ""Грибна""","392","0,29","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Ді Шпіначіо""","658","Піца ""Ді Шпіначіо""","1412","0,07","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Європейська""","295","Піца ""Європейська""","397","0,29","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Італійська""","660","Піца ""Італійська""","1413","0,57","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Кватро Формаджі""","573","Піца ""Кватро Формаджі""","901","0,43","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Козацька""","1098","Піца ""Козацька""","2274","0,14","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""М*ясна""","297","Піца ""М*ясна""","393","0,29","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Мисливська""","298","Піца ""Мисливська""","394","0,5","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Особлива""","300","Піца ""Особлива""","396","0,21","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Пепероні""","1054","Піца ""Пепероні""","2214","0,36","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Поло""","659","Піца ""Поло""","1411","0,07","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Сирна""","301","Піца ""Сирна""","395","0,21","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Тонно"" (з тунцем і шпинатом)","1099","Піца ""Тонно"" (з тунцем і шпинатом)","2275","0,14","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Американська""","1055","Піца ""Американська""","2215","0,57","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Верона""","879","Піца ""Верона""","1954","0,29","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Гавайська""","292","Піца ""Гавайська""","391","0,71","2"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Грибна""","294","Піца ""Грибна""","392","0,36","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Ді Шпіначіо""","658","Піца ""Ді Шпіначіо""","1412","0,21","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Європейська""","295","Піца ""Європейська""","397","0,57","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Італійська""","660","Піца ""Італійська""","1413","0,64","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Кватро Формаджі""","573","Піца ""Кватро Формаджі""","901","0,43","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Козацька""","1098","Піца ""Козацька""","2274","0,29","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""М*ясна""","297","Піца ""М*ясна""","393","0,36","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Мисливська""","298","Піца ""Мисливська""","394","0,79","2"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Особлива""","300","Піца ""Особлива""","396","0,57","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Пепероні""","1054","Піца ""Пепероні""","2214","0,29","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Поло""","659","Піца ""Поло""","1411","0,36","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Сирна""","301","Піца ""Сирна""","395","0,43","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Тонно"" (з тунцем і шпинатом)","1099","Піца ""Тонно"" (з тунцем і шпинатом)","2275","0,43","1"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Американська""","1055","Піца ""Американська""","2215","1,36","3"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Верона""","879","Піца ""Верона""","1954","0,79","2"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Гавайська""","292","Піца ""Гавайська""","391","1,07","2"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Грибна""","294","Піца ""Грибна""","392","0,57","1"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Ді Шпіначіо""","658","Піца ""Ді Шпіначіо""","1412","0,29","1"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Європейська""","295","Піца ""Європейська""","397","0,93","2"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Італійська""","660","Піца ""Італійська""","1413","1,5","3"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Кватро Формаджі""","573","Піца ""Кватро Формаджі""","901","1,29","2"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Козацька""","1098","Піца ""Козацька""","2274","1,21","2"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""М*ясна""","297","Піца ""М*ясна""","393","1,57","3"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Мисливська""","298","Піца ""Мисливська""","394","2,93","5"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Особлива""","300","Піца ""Особлива""","396","0,36","1"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Пепероні""","1054","Піца ""Пепероні""","2214","0,36","1"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Поло""","659","Піца ""Поло""","1411","0,43","1"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Сирна""","301","Піца ""Сирна""","395","2,21","4"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Тонно"" (з тунцем і шпинатом)","1099","Піца ""Тонно"" (з тунцем і шпинатом)","2275","0,5","1"
"2026-03-27","2026-03-13","2026-03-27","Герцена","3","9","Піца ""Американська""","1055","Піца ""Американська""","2215","0,64","1"
"2026-03-27","2026-03-13","2026-03-27","Герцена","3","9","Піца ""Верона""","879","Піца ""Верона""","1954","0,21","1"
